,Age(DoC-DoB),GENDERID,SOCIALCATID,RELIGIONID,BPL_YN,DISADV_YN,FREEEDU_YN,ATTENDANCE(%),HOMELESS_YN,EXAMMARKS(%),XMAPPR_YN,Dropout?
28,0.044256617415515155,2,0,1,1,2,2,0.014152167642899999,2,0.0616021133213,1,0
29,0.047660972601324014,2,0,0,2,2,2,0.0363912882246,2,0.0208360089175,1,1
30,0.044256617415515155,2,0,1,2,2,2,0.0411086774389,2,0.08153220880760001,1,0
31,0.05106532778713287,2,0,0,2,2,2,0.0646956235103,2,0.055260719302900004,1,0
32,0.047660972601324014,2,2,1,1,2,1,0.029652160775599998,2,0.0289892297982,1,0
33,0.054469682972941726,1,0,0,1,2,2,0.016173905877600002,2,0.021741922348700003,1,1
34,0.047660972601324014,2,0,0,2,2,2,0.0586304088062,2,0.0289892297982,1,0
35,0.047660972601324014,2,0,0,2,2,2,0.0539130195919,2,0.055260719302900004,1,0
36,0.05106532778713287,1,0,0,2,2,2,0.0195434696021,2,0.021741922348700003,1,1
37,0.047660972601324014,1,0,1,2,2,2,0.0343695499899,2,0.0770026416516,1,0
38,0.047660972601324014,2,0,1,1,2,2,0.0107826039184,2,0.0135887014679,1,1
39,0.047660972601324014,2,0,0,2,2,2,0.0438043284185,2,0.0597902864589,1,0
40,0.061278393344559444,2,0,0,2,2,2,0.0545869323368,2,0.019024182055099998,1,0
41,0.05106532778713287,1,0,0,2,2,2,0.0458260666532,2,0.0507311521469,1,0
42,0.047660972601324014,1,0,0,2,2,2,0.0572825833164,2,0.0588843730277,1,0
43,0.047660972601324014,2,0,1,2,2,2,0.0431304156736,2,0.0806262953764,1,0
44,0.05106532778713287,2,0,0,2,2,2,0.0363912882246,2,0.0144946148991,1,0
45,0.05106532778713287,1,0,1,1,2,2,0.0309999862654,2,0.08696768939470001,1,0
46,0.047660972601324014,1,1,1,2,2,2,0.0215652078368,2,0.0634139401837,1,0
47,0.05106532778713287,2,3,1,1,2,1,0.0195434696021,2,0.0706612476332,1,0
48,0.05106532778713287,2,0,0,2,2,2,0.0451521539083,2,0.019024182055099998,1,0
49,0.044256617415515155,1,0,0,2,2,2,0.044478241163400004,2,0.0561666327341,1,0
50,0.047660972601324014,2,0,1,2,2,2,0.032347811755200004,2,0.0516370655781,1,0
51,0.05106532778713287,1,0,0,2,2,2,0.014152167642899999,2,0.0317069700918,1,0
52,0.047660972601324014,1,0,1,2,2,2,0.013478254898000001,2,0.037142450679,1,1
53,0.047660972601324014,2,3,0,2,2,2,0.0276304225409,2,0.0597902864589,1,0
54,0.054469682972941726,1,2,0,1,2,1,0.0397608519491,2,0.053448892440499995,1,1
55,0.047660972601324014,2,0,1,2,2,2,0.0640217107654,2,0.043483844697400006,1,0
56,0.047660972601324014,1,0,1,2,2,2,0.0350434627348,2,0.0398601909726,1,0
57,0.05106532778713287,1,0,0,2,2,2,0.0363912882246,2,0.0597902864589,1,0
58,0.05106532778713287,2,0,0,2,2,2,0.041782590183800004,2,0.0226478357799,1,1
59,0.05106532778713287,2,0,0,1,2,2,0.044478241163400004,2,0.0262714895047,1,0
60,0.05106532778713287,2,0,0,2,2,2,0.0512173686123,2,0.0507311521469,1,0
61,0.044256617415515155,1,0,0,2,2,2,0.006739127448989999,2,0.0317069700918,1,1
62,0.044256617415515155,2,2,1,2,2,2,0.051891281357199996,2,0.0833440356699,1,0
63,0.047660972601324014,1,3,0,1,2,1,0.006739127448989999,2,0.027177402935900003,1,0
64,0.057874038158750585,1,0,1,2,2,2,0.051891281357199996,2,0.0606961998901,1,0
65,0.047660972601324014,2,0,1,2,2,2,0.0424565029287,2,0.0489193252845,1,0
66,0.047660972601324014,1,3,0,1,2,1,0.0363912882246,2,0.0489193252845,1,1
67,0.047660972601324014,1,0,0,2,2,2,0.0552608450817,2,0.0289892297982,1,0
68,0.047660972601324014,2,0,1,2,2,2,0.0101086911735,2,0.0489193252845,1,1
69,0.047660972601324014,1,0,1,1,2,2,0.0566086705715,2,0.0344247103854,1,1
70,0.05106532778713287,2,0,0,2,2,2,0.0188695568572,2,0.054354805871699996,1,0
71,0.054469682972941726,1,1,1,2,2,2,0.0309999862654,2,0.0679435073396,1,0
72,0.047660972601324014,1,2,1,2,2,2,0.066717361745,2,0.0606961998901,1,0
73,0.05106532778713287,2,1,0,2,2,2,0.0572825833164,2,0.019024182055099998,1,0
74,0.047660972601324014,1,0,0,1,1,2,0.0458260666532,2,0.0579784595965,1,0
75,0.047660972601324014,2,3,0,1,2,1,0.0633477980205,2,0.0579784595965,1,0
76,0.047660972601324014,1,0,1,2,2,2,0.020217382347,2,0.0462015849909,1,0
77,0.047660972601324014,2,2,0,2,2,2,0.048521717632800006,2,0.0516370655781,1,0
78,0.05106532778713287,1,2,0,1,2,1,0.49869543122500004,2,0.019024182055099998,1,0
